Algorithm,Instance,Run,Time.s,Accuracy
Standard,Inst10,18,160.1,0.909
Standard,Inst10,19,172.2,0.905
Standard,Inst10,20,154.5,0.877
Standard,Inst10,21,137,0.882
Standard,Inst10,22,208.3,0.886
Standard,Inst10,23,183.6,0.88
Standard,Inst10,24,187.8,0.903
Standard,Inst10,25,167.7,0.872
Standard,Inst10,26,167.7,0.858
Standard,Inst10,27,183.9,0.883
Standard,Inst10,28,178.7,0.879
Standard,Inst10,29,157.8,0.872
Standard,Inst10,30,175.3,0.876
Standard,Inst11,1,173.4,0.9
Standard,Inst11,2,170.8,0.913
Standard,Inst11,3,188.1,0.925
Standard,Inst11,4,174.2,0.9
Standard,Inst11,5,168.4,0.917
Standard,Inst11,6,128.2,0.872
Standard,Inst11,7,201.8,0.902
Standard,Inst11,8,158.6,0.888
Standard,Inst11,9,200.8,0.875
Standard,Inst11,10,189.6,0.889
Standard,Inst11,11,140.6,0.904
Standard,Inst11,12,189.7,0.899
Standard,Inst11,13,173.8,0.902
Standard,Inst11,14,164,0.9
Standard,Inst11,15,120.7,0.885
Standard,Inst11,16,186.7,0.883
Standard,Inst11,17,179.6,0.922
Standard,Inst11,18,180.4,0.86
Standard,Inst11,19,155,0.883
Standard,Inst11,20,172.5,0.914
Standard,Inst11,21,160.5,0.886
Standard,Inst11,22,140.3,0.886
Standard,Inst11,23,161.7,0.915
Standard,Inst11,24,170.1,0.888
Standard,Inst11,25,218.5,0.882
Standard,Inst11,26,129.3,0.867
Standard,Inst11,27,183.9,0.926
Standard,Inst11,28,163.1,0.892
Standard,Inst11,29,158.3,0.898
Standard,Inst11,30,154.7,0.887
Standard,Inst12,1,159.9,0.917
Standard,Inst12,2,211.9,0.896
Standard,Inst12,3,172.7,0.954
Standard,Inst12,4,190.1,0.92
Standard,Inst12,5,185.8,0.941
Standard,Inst12,6,173.5,0.93
Standard,Inst12,7,157.6,0.909
Standard,Inst12,8,144.9,0.898
Standard,Inst12,9,167.6,0.902
Standard,Inst12,10,194.4,0.91
Standard,Inst12,11,180.6,0.941
Standard,Inst12,12,190,0.979
Standard,Inst12,13,171,0.926
Standard,Inst12,14,196.1,0.896
Standard,Inst12,15,154.2,0.957
Standard,Inst12,16,195.8,0.954
Standard,Inst12,17,172.6,0.92
Standard,Inst12,18,175.8,0.914
Standard,Inst12,19,177.4,0.894
Standard,Inst12,20,125.4,0.942
Standard,Inst12,21,164.8,0.92
Standard,Inst12,22,174.6,0.898
Standard,Inst12,23,176,0.916
Standard,Inst12,24,212.7,0.886
Standard,Inst12,25,186.9,0.91
Standard,Inst12,26,177.2,0.969
Standard,Inst12,27,201.2,0.913
Standard,Inst12,28,160.6,0.951
Standard,Inst12,29,211.1,0.92
Standard,Inst12,30,185,0.924
Standard,Inst13,1,163,0.856
Standard,Inst13,2,191.7,0.847
Standard,Inst13,3,183.5,0.863
Standard,Inst13,4,171.7,0.867
Standard,Inst13,5,212.3,0.854
Standard,Inst13,6,187.8,0.82
Standard,Inst13,7,181.6,0.843
Standard,Inst13,8,150.8,0.861
Standard,Inst13,9,151,0.867
Standard,Inst13,10,173.2,0.854
Standard,Inst13,11,153.1,0.868
Standard,Inst13,12,179.4,0.849
Standard,Inst13,13,148.8,0.888
Standard,Inst13,14,171.8,0.852
Standard,Inst13,15,157.4,0.843
Standard,Inst13,16,119,0.868
Standard,Inst13,17,188.6,0.872
Standard,Inst13,18,161.2,0.84
Standard,Inst13,19,138.7,0.842
Standard,Inst13,20,154.2,0.89
Standard,Inst13,21,162.6,0.862
Standard,Inst13,22,176.9,0.836
Standard,Inst13,23,175.4,0.875
Standard,Inst13,24,152.8,0.861
Standard,Inst13,25,149.7,0.855
Standard,Inst13,26,164.6,0.874
Standard,Inst13,27,210.1,0.868
Standard,Inst13,28,174.8,0.853
Standard,Inst13,29,161,0.881
Standard,Inst13,30,191.5,0.847
Standard,Inst14,1,170.1,0.885
Standard,Inst14,2,199.1,0.923
Standard,Inst14,3,229.4,0.923
Standard,Inst14,4,209.2,0.955
Standard,Inst14,5,170.8,0.944
Standard,Inst14,6,213.9,0.916
Standard,Inst14,7,200.8,0.94
Standard,Inst14,8,198.3,0.927
Standard,Inst14,9,203.1,0.897
Standard,Inst14,10,176.3,0.889
Standard,Inst14,11,241.6,0.906
Standard,Inst14,12,204.8,0.947
Standard,Inst14,13,194,0.956
Standard,Inst14,14,215.3,0.942
Standard,Inst14,15,213.9,0.942
Standard,Inst14,16,222.3,0.883
Standard,Inst14,17,216.5,0.928
Standard,Inst14,18,184,0.931
Standard,Inst14,19,186.1,0.936
Standard,Inst14,20,209.6,0.938
Standard,Inst14,21,184.8,0.933
Standard,Inst14,22,184.9,0.908
Standard,Inst14,23,174.3,0.925
Standard,Inst14,24,226,0.939
Standard,Inst14,25,182,0.921
Standard,Inst14,26,177.9,0.91
Standard,Inst14,27,192,0.918
Standard,Inst14,28,214.7,0.922
Standard,Inst14,29,168.2,0.93
Standard,Inst14,30,171.5,0.926
Standard,Inst15,1,203.8,0.914
Standard,Inst15,2,191,0.929
Standard,Inst15,3,194.8,0.922
Standard,Inst15,4,188.4,0.893
Standard,Inst15,5,226.7,0.909
Standard,Inst15,6,177.1,0.926
Standard,Inst15,7,199.8,0.918
Standard,Inst15,8,213.5,0.909
Standard,Inst15,9,226.3,0.923
Standard,Inst15,10,216.6,0.937
Standard,Inst15,11,187.1,0.939
Standard,Inst15,12,194.9,0.922
Standard,Inst15,13,206.5,0.901
Standard,Inst15,14,200.3,0.94
Standard,Inst15,15,184.3,0.939
Standard,Inst15,16,197.5,0.929
Standard,Inst15,17,176.7,0.929
Standard,Inst15,18,193.9,0.908
Standard,Inst15,19,199.1,0.948
Standard,Inst15,20,208.3,0.959
Standard,Inst15,21,170,0.897
Standard,Inst15,22,174.7,0.905
Standard,Inst15,23,158.5,0.927
Standard,Inst15,24,216.2,0.926
Standard,Inst15,25,167,0.917
Standard,Inst15,26,207.6,0.919
Standard,Inst15,27,186,0.904
Standard,Inst15,28,194.9,0.898
Standard,Inst15,29,202.2,0.907
Standard,Inst15,30,165.3,0.889
Standard,Inst16,1,152.8,0.958
Standard,Inst16,2,126.9,0.948
Standard,Inst16,3,162.1,0.922
Standard,Inst16,4,160.4,0.918
Standard,Inst16,5,112.9,0.907
Standard,Inst16,6,123.5,0.948
Standard,Inst16,7,152.2,0.913
Standard,Inst16,8,151.4,0.883
Standard,Inst16,9,152.8,0.916
Standard,Inst16,10,132.7,0.933
Standard,Inst16,11,133.9,0.923
Standard,Inst16,12,129.5,0.911
Standard,Inst16,13,187.8,0.924
Standard,Inst16,14,123.7,0.939
Standard,Inst16,15,144,0.91
Standard,Inst16,16,105.2,0.929
Standard,Inst16,17,156.5,0.92
Standard,Inst16,18,102.7,0.946
Standard,Inst16,19,151.5,0.938
Standard,Inst16,20,135.3,0.907
Standard,Inst16,21,126.7,0.915
Standard,Inst16,22,136,0.919
Standard,Inst16,23,140.2,0.909
Standard,Inst16,24,165.9,0.902
Standard,Inst16,25,122.5,0.929
Standard,Inst16,26,153.9,0.936
Standard,Inst16,27,171.9,0.937
Standard,Inst16,28,179,0.931
Standard,Inst16,29,170.5,0.946
Standard,Inst16,30,95.98,0.921
Standard,Inst17,1,210.6,0.894
Standard,Inst17,2,147.6,0.911
Standard,Inst17,3,178.8,0.898
Standard,Inst17,4,147.3,0.894
Standard,Inst17,5,139.8,0.89
Standard,Inst17,6,152.8,0.873
Standard,Inst17,7,121.3,0.9
Standard,Inst17,8,174.3,0.884
Standard,Inst17,9,193.1,0.914
Standard,Inst17,10,148.6,0.889
Standard,Inst17,11,177.3,0.905
Standard,Inst17,12,155,0.911
Standard,Inst17,13,152.5,0.862
Standard,Inst17,14,142.1,0.915
Standard,Inst17,15,178.9,0.898
Standard,Inst17,16,182.7,0.902
Standard,Inst17,17,156.8,0.878
Standard,Inst17,18,165.5,0.879
Standard,Inst17,19,172.2,0.904
Standard,Inst17,20,206.4,0.899
Standard,Inst17,21,156.1,0.903
Standard,Inst17,22,175.4,0.898
Standard,Inst17,23,160.7,0.877
Standard,Inst17,24,134.7,0.92
Standard,Inst17,25,174.9,0.865
Standard,Inst17,26,212.8,0.928
Standard,Inst17,27,145.5,0.906
Standard,Inst17,28,168.3,0.884
Standard,Inst17,29,201.5,0.876
Standard,Inst17,30,167.9,0.937
Standard,Inst18,1,216.6,0.894
Standard,Inst18,2,178.1,0.912
Standard,Inst18,3,190.2,0.91
Standard,Inst18,4,171.5,0.909
Standard,Inst18,5,163.6,0.913
Standard,Inst18,6,182.6,0.883
Standard,Inst18,7,196.5,0.907
Standard,Inst18,8,219.1,0.902
Standard,Inst18,9,186.9,0.921
Standard,Inst18,10,162.6,0.925
Standard,Inst18,11,191.6,0.915
Standard,Inst18,12,202.8,0.89
Standard,Inst18,13,171.7,0.904
Standard,Inst18,14,202.7,0.893
Standard,Inst18,15,184.9,0.879
Standard,Inst18,16,207.6,0.872
Standard,Inst18,17,204.8,0.901
Standard,Inst18,18,177.8,0.913
Standard,Inst18,19,196.6,0.916
Standard,Inst18,20,201.5,0.923
Standard,Inst18,21,183.9,0.903
Standard,Inst18,22,184,0.884
Standard,Inst18,23,186.2,0.876
Standard,Inst18,24,200.2,0.891
Standard,Inst18,25,188.4,0.881
Standard,Inst18,26,184.2,0.868
Standard,Inst18,27,172.2,0.918
Standard,Inst18,28,172.8,0.899
Standard,Inst18,29,169.2,0.903
Standard,Inst18,30,168.2,0.882
Standard,Inst19,1,127.3,0.852
Standard,Inst19,2,153.1,0.905
Standard,Inst19,3,173.9,0.912
Standard,Inst19,4,172.3,0.88
Standard,Inst19,5,175.2,0.924
Standard,Inst19,6,166.6,0.932
Standard,Inst19,7,137.2,0.919
Standard,Inst19,8,183.6,0.931
Standard,Inst19,9,149,0.94
Standard,Inst19,10,154,0.967
Standard,Inst19,11,156.5,0.912
Standard,Inst19,12,147.6,0.91
Standard,Inst19,13,151.5,0.905
Standard,Inst19,14,165.5,0.929
Standard,Inst19,15,184.3,0.936
Standard,Inst19,16,180.6,0.895
Standard,Inst19,17,199.4,0.89
Standard,Inst19,18,157.3,0.939
Standard,Inst19,19,170.8,0.938
Standard,Inst19,20,148.5,0.914
Standard,Inst19,21,210.6,0.925
Standard,Inst19,22,146.9,0.904
Standard,Inst19,23,168.6,0.913
Standard,Inst19,24,192.2,0.931
Standard,Inst19,25,121.5,0.931
Standard,Inst19,26,153.4,0.903
Standard,Inst19,27,181.4,0.932
Standard,Inst19,28,187.2,0.938
Standard,Inst19,29,150.8,0.936
Standard,Inst19,30,169.9,0.963
Standard,Inst20,1,148.5,0.889
Standard,Inst20,2,165.5,0.917
Standard,Inst20,3,206,0.875
Standard,Inst20,4,226.4,0.886
Standard,Inst20,5,168.3,0.882
Standard,Inst20,6,189.5,0.926
Standard,Inst20,7,176,0.877
Standard,Inst20,8,191.1,0.848
Standard,Inst20,9,200.3,0.924
Standard,Inst20,10,202.7,0.893
Standard,Inst20,11,202.3,0.881
Standard,Inst20,12,201.7,0.869
Standard,Inst20,13,204.1,0.908
Standard,Inst20,14,201.7,0.876
Standard,Inst20,15,223,0.878
Standard,Inst20,16,160.8,0.879
Standard,Inst20,17,186.8,0.922
Standard,Inst20,18,160.6,0.865
Standard,Inst20,19,183.6,0.859
Standard,Inst20,20,154.2,0.918
Standard,Inst20,21,171.5,0.878
Standard,Inst20,22,166.8,0.904
Standard,Inst20,23,182.2,0.882
Standard,Inst20,24,190.7,0.893
Standard,Inst20,25,167.2,0.896
Standard,Inst20,26,192.2,0.9
Standard,Inst20,27,223.1,0.891
Standard,Inst20,28,212.8,0.877
Standard,Inst20,29,188.1,0.869
Standard,Inst20,30,164.5,0.878
Standard,Inst21,1,129,0.882
Standard,Inst21,2,173.8,0.862
Standard,Inst21,3,161.8,0.898
Standard,Inst21,4,109.6,0.891
Standard,Inst21,5,164.7,0.898
Standard,Inst21,6,146.2,0.888
Standard,Inst21,7,158.2,0.929
Standard,Inst21,8,132.5,0.903
Standard,Inst21,9,142.5,0.918
Standard,Inst21,10,149.1,0.924
Standard,Inst21,11,146.8,0.923
Standard,Inst21,12,182.9,0.89
Standard,Inst21,13,154.7,0.944
Standard,Inst21,14,153.5,0.932
Standard,Inst21,15,146.5,0.893
Standard,Inst21,16,120,0.892
Standard,Inst21,17,129.3,0.912
Standard,Inst21,18,153.1,0.895
Standard,Inst21,19,175.5,0.895
Standard,Inst21,20,162.1,0.874
Standard,Inst21,21,171.8,0.87
Standard,Inst21,22,156.6,0.881
Standard,Inst21,23,148.5,0.89
Standard,Inst21,24,164.3,0.921
Standard,Inst21,25,172.3,0.926
Standard,Inst21,26,169.1,0.891
Standard,Inst21,27,161.8,0.919
Standard,Inst21,28,184.3,0.907
Standard,Inst21,29,154.5,0.96
Standard,Inst21,30,170.4,0.944
Standard,Inst22,1,177.3,0.94
Standard,Inst22,2,154.7,0.94
Standard,Inst22,3,186.1,0.91
Standard,Inst22,4,194.2,0.942
Standard,Inst22,5,190.3,0.888
Standard,Inst22,6,169.8,0.956
Standard,Inst22,7,200,0.9
Standard,Inst22,8,199.4,0.952
Standard,Inst22,9,196.1,0.887
Standard,Inst22,10,143.7,0.957
Standard,Inst22,11,180,0.95
Standard,Inst22,12,191.2,0.948
Standard,Inst22,13,168.3,0.936
Standard,Inst22,14,170,0.899
Standard,Inst22,15,179.5,0.948
Standard,Inst22,16,209.4,0.916
Standard,Inst22,17,141.7,0.906
Standard,Inst22,18,156.3,0.908
Standard,Inst22,19,183.7,0.949
Standard,Inst22,20,168.6,0.899
Standard,Inst22,21,178.9,0.916
Standard,Inst22,22,151.3,0.917
Standard,Inst22,23,183.1,0.953
Standard,Inst22,24,175.3,0.92
Standard,Inst22,25,158.6,0.974
Standard,Inst22,26,164.7,0.938
Standard,Inst22,27,182.1,0.915
Standard,Inst22,28,160.5,0.951
Standard,Inst22,29,155,0.895
Standard,Inst22,30,190.3,0.92
Standard,Inst23,1,204.5,0.915
Standard,Inst23,2,156.2,0.876
Standard,Inst23,3,208.6,0.88
Standard,Inst23,4,158.8,0.854
Standard,Inst23,5,200,0.882
Standard,Inst23,6,230,0.912
Standard,Inst23,7,182,0.882
Standard,Inst23,8,166.9,0.88
Standard,Inst23,9,171.6,0.923
Standard,Inst23,10,184,0.907
Standard,Inst23,11,201.4,0.875
Standard,Inst23,12,175,0.91
Standard,Inst23,13,195.6,0.901
Standard,Inst23,14,224.6,0.894
Standard,Inst23,15,232.8,0.863
Standard,Inst23,16,174.8,0.858
Standard,Inst23,17,170.4,0.918
Standard,Inst23,18,190.9,0.896
Standard,Inst23,19,200.3,0.911
Standard,Inst23,20,203.2,0.85
Standard,Inst23,21,170.1,0.921
Standard,Inst23,22,184.3,0.9
Standard,Inst23,23,219.9,0.92
Standard,Inst23,24,182.3,0.901
Standard,Inst23,25,169.8,0.879
Standard,Inst23,26,196.7,0.896
Standard,Inst23,27,204.4,0.882
Standard,Inst23,28,167.7,0.895
Standard,Inst23,29,190.2,0.878
Standard,Inst23,30,167.6,0.884
Standard,Inst24,1,153.7,0.846
Standard,Inst24,2,183.3,0.845
Standard,Inst24,3,156.8,0.896
Standard,Inst24,4,158.5,0.876
Standard,Inst24,5,173.8,0.897
Standard,Inst24,6,158.9,0.855
Standard,Inst24,7,170.5,0.868
Standard,Inst24,8,174,0.876
Standard,Inst24,9,143.1,0.889
Standard,Inst24,10,219.6,0.865
Standard,Inst24,11,165.7,0.862
Standard,Inst24,12,134.3,0.857
Standard,Inst24,13,126.7,0.848
Standard,Inst24,14,158.7,0.869
Standard,Inst24,15,162,0.865
Standard,Inst24,16,171.7,0.873
Standard,Inst24,17,139.7,0.856
Standard,Inst24,18,159.2,0.88
Standard,Inst24,19,169.9,0.853
Standard,Inst24,20,168.6,0.865
Standard,Inst24,21,186.3,0.859
Standard,Inst24,22,206.5,0.884
Standard,Inst24,23,186.9,0.863
Standard,Inst24,24,156.8,0.888
Standard,Inst24,25,188.3,0.853
Standard,Inst24,26,141.9,0.9
Standard,Inst24,27,175.3,0.869
Standard,Inst24,28,135.6,0.842
Standard,Inst24,29,208.5,0.905
Standard,Inst24,30,155.4,0.868
Standard,Inst25,1,179.6,0.908
Standard,Inst25,2,147.5,0.913
Standard,Inst25,3,161.4,0.879
Standard,Inst25,4,164.5,0.94
Standard,Inst25,5,139.5,0.929
Standard,Inst25,6,137,0.925
Standard,Inst25,7,148.1,0.881
Standard,Inst25,8,130.2,0.871
Standard,Inst25,9,181.5,0.916
Standard,Inst25,10,124.7,0.92
Standard,Inst25,11,144.5,0.888
Standard,Inst25,12,189.3,0.894
Standard,Inst25,13,165.5,0.94
Standard,Inst25,14,181.8,0.901
Standard,Inst25,15,123.6,0.91
Standard,Inst25,16,121.9,0.848
Standard,Inst25,17,146.2,0.92
Standard,Inst25,18,160.8,0.887
Standard,Inst25,19,155.5,0.96
Standard,Inst25,20,143.2,0.865
Standard,Inst25,21,155.2,0.912
