Algorithm,Instance,Run,Time.s,Accuracy
Standard,Inst12,23,155.2,0.868
Standard,Inst12,24,157.6,0.878
Standard,Inst12,25,203.8,0.848
Standard,Inst12,26,170.4,0.871
Standard,Inst12,27,167.7,0.873
Standard,Inst12,28,194.4,0.869
Standard,Inst12,29,222.4,0.905
Standard,Inst12,30,178.7,0.851
Standard,Inst13,1,147,0.858
Standard,Inst13,2,172.6,0.85
Standard,Inst13,3,163,0.864
Standard,Inst13,4,175.7,0.893
Standard,Inst13,5,186.5,0.86
Standard,Inst13,6,208.7,0.864
Standard,Inst13,7,136.8,0.889
Standard,Inst13,8,175.6,0.881
Standard,Inst13,9,160.3,0.875
Standard,Inst13,10,186.3,0.897
Standard,Inst13,11,184.6,0.849
Standard,Inst13,12,181.5,0.876
Standard,Inst13,13,176.4,0.86
Standard,Inst13,14,197.9,0.874
Standard,Inst13,15,212.2,0.878
Standard,Inst13,16,138.8,0.868
Standard,Inst13,17,199.6,0.889
Standard,Inst13,18,189.5,0.846
Standard,Inst13,19,165.6,0.873
Standard,Inst13,20,182,0.87
Standard,Inst13,21,228.9,0.874
Standard,Inst13,22,180.6,0.876
Standard,Inst13,23,154.5,0.878
Standard,Inst13,24,176.9,0.854
Standard,Inst13,25,198,0.886
Standard,Inst13,26,162.4,0.871
Standard,Inst13,27,167,0.86
Standard,Inst13,28,168.4,0.857
Standard,Inst13,29,183.9,0.878
Standard,Inst13,30,162.8,0.892
Standard,Inst14,1,156.4,0.909
Standard,Inst14,2,178.6,0.914
Standard,Inst14,3,195.2,0.899
Standard,Inst14,4,229.3,0.97
Standard,Inst14,5,200.3,0.908
Standard,Inst14,6,185.1,0.923
Standard,Inst14,7,192.7,0.915
Standard,Inst14,8,163.7,0.914
Standard,Inst14,9,190.5,0.899
Standard,Inst14,10,191.4,0.902
Standard,Inst14,11,176.3,0.889
Standard,Inst14,12,186.6,0.948
Standard,Inst14,13,168.7,0.88
Standard,Inst14,14,183.3,0.886
Standard,Inst14,15,211.5,0.885
Standard,Inst14,16,190.1,0.873
Standard,Inst14,17,165.5,0.927
Standard,Inst14,18,213.9,0.917
Standard,Inst14,19,202.3,0.922
Standard,Inst14,20,227.3,0.894
Standard,Inst14,21,191.2,0.907
Standard,Inst14,22,174,0.936
Standard,Inst14,23,186.5,0.923
Standard,Inst14,24,186.3,0.916
Standard,Inst14,25,208.8,0.925
Standard,Inst14,26,149.2,0.937
Standard,Inst14,27,177.5,0.919
Standard,Inst14,28,212.2,0.915
Standard,Inst14,29,224.1,0.901
Standard,Inst14,30,202.6,0.91
Standard,Inst15,1,200.9,0.919
Standard,Inst15,2,239.2,0.915
Standard,Inst15,3,215.1,0.889
Standard,Inst15,4,218.8,0.9
Standard,Inst15,5,204.9,0.899
Standard,Inst15,6,198.9,0.852
Standard,Inst15,7,203.6,0.9
Standard,Inst15,8,216.4,0.906
Standard,Inst15,9,204.9,0.907
Standard,Inst15,10,200,0.917
Standard,Inst15,11,223.4,0.901
Standard,Inst15,12,181.2,0.886
Standard,Inst15,13,200.4,0.855
Standard,Inst15,14,224.8,0.847
Standard,Inst15,15,188.7,0.951
Standard,Inst15,16,174.9,0.888
Standard,Inst15,17,152.9,0.926
Standard,Inst15,18,178,0.905
Standard,Inst15,19,179.3,0.922
Standard,Inst15,20,143.2,0.887
Standard,Inst15,21,160,0.908
Standard,Inst15,22,199.9,0.925
Standard,Inst15,23,172.2,0.891
Standard,Inst15,24,180.8,0.905
Standard,Inst15,25,200.5,0.876
Standard,Inst15,26,220.3,0.883
Standard,Inst15,27,201.2,0.927
Standard,Inst15,28,208.7,0.9
Standard,Inst15,29,186,0.926
Standard,Inst15,30,198.3,0.906
Standard,Inst16,1,162.7,0.935
Standard,Inst16,2,180.2,0.888
Standard,Inst16,3,154.1,0.887
Standard,Inst16,4,121.9,0.9
Standard,Inst16,5,149.8,0.93
Standard,Inst16,6,151.5,0.916
Standard,Inst16,7,154.9,0.902
Standard,Inst16,8,156.3,0.908
Standard,Inst16,9,146.7,0.915
Standard,Inst16,10,180.9,0.926
Standard,Inst16,11,168.4,0.951
Standard,Inst16,12,166.6,0.906
Standard,Inst16,13,164.4,0.92
Standard,Inst16,14,134.9,0.943
Standard,Inst16,15,163.5,0.889
Standard,Inst16,16,152,0.87
Standard,Inst16,17,125.8,0.897
Standard,Inst16,18,154.4,0.94
Standard,Inst16,19,192.3,0.939
Standard,Inst16,20,167.7,0.897
Standard,Inst16,21,170.4,0.927
Standard,Inst16,22,165.8,0.911
Standard,Inst16,23,146.8,0.857
Standard,Inst16,24,175.2,0.894
Standard,Inst16,25,175.9,0.907
Standard,Inst16,26,161.7,0.901
Standard,Inst16,27,164,0.927
Standard,Inst16,28,146.9,0.943
Standard,Inst16,29,168.9,0.949
Standard,Inst16,30,127.4,0.913
Standard,Inst17,1,171.6,0.917
Standard,Inst17,2,183.7,0.887
Standard,Inst17,3,181.6,0.867
Standard,Inst17,4,180.4,0.891
Standard,Inst17,5,156.8,0.941
Standard,Inst17,6,192.1,0.88
Standard,Inst17,7,154.9,0.877
Standard,Inst17,8,133.7,0.928
Standard,Inst17,9,189.8,0.889
Standard,Inst17,10,185.1,0.901
Standard,Inst17,11,173.6,0.876
Standard,Inst17,12,160.3,0.932
Standard,Inst17,13,178.9,0.94
Standard,Inst17,14,167.7,0.882
Standard,Inst17,15,155.5,0.884
Standard,Inst17,16,182.1,0.879
Standard,Inst17,17,165.8,0.885
Standard,Inst17,18,188.5,0.894
Standard,Inst17,19,179.3,0.91
Standard,Inst17,20,181.2,0.898
Standard,Inst17,21,181.8,0.882
Standard,Inst17,22,132.6,0.893
Standard,Inst17,23,134,0.897
Standard,Inst17,24,210.6,0.885
Standard,Inst17,25,192.5,0.891
Standard,Inst17,26,144.6,0.895
Standard,Inst17,27,161.7,0.859
Standard,Inst17,28,154.7,0.897
Standard,Inst17,29,141.6,0.897
Standard,Inst17,30,196.6,0.893
Standard,Inst18,1,217.6,0.854
Standard,Inst18,2,151.8,0.866
Standard,Inst18,3,176.2,0.883
Standard,Inst18,4,191.5,0.886
Standard,Inst18,5,178.8,0.873
Standard,Inst18,6,211,0.876
Standard,Inst18,7,180.3,0.88
Standard,Inst18,8,178.3,0.883
Standard,Inst18,9,212.3,0.922
Standard,Inst18,10,154.8,0.882
Standard,Inst18,11,162.3,0.862
Standard,Inst18,12,188.2,0.907
Standard,Inst18,13,231.6,0.867
Standard,Inst18,14,191.9,0.887
Standard,Inst18,15,171.6,0.926
Standard,Inst18,16,204.7,0.89
Standard,Inst18,17,178.8,0.93
Standard,Inst18,18,181.2,0.877
Standard,Inst18,19,174.7,0.88
Standard,Inst18,20,192.4,0.899
Standard,Inst18,21,194.8,0.889
Standard,Inst18,22,170,0.883
Standard,Inst18,23,187.6,0.877
Standard,Inst18,24,174.2,0.872
Standard,Inst18,25,204,0.892
Standard,Inst18,26,233.6,0.923
Standard,Inst18,27,194.2,0.871
Standard,Inst18,28,181.1,0.878
Standard,Inst18,29,170.1,0.849
Standard,Inst18,30,172.1,0.883
Standard,Inst19,1,141.1,0.852
Standard,Inst19,2,153.7,0.911
Standard,Inst19,3,128.7,0.845
Standard,Inst19,4,149.4,0.891
Standard,Inst19,5,176.3,0.907
Standard,Inst19,6,189.3,0.891
Standard,Inst19,7,134.9,0.865
Standard,Inst19,8,162.7,0.911
Standard,Inst19,9,175.7,0.904
Standard,Inst19,10,139.2,0.85
Standard,Inst19,11,143.2,0.924
Standard,Inst19,12,172.2,0.872
Standard,Inst19,13,163.7,0.875
Standard,Inst19,14,195.5,0.873
Standard,Inst19,15,150.1,0.898
Standard,Inst19,16,117,0.891
Standard,Inst19,17,137.8,0.901
Standard,Inst19,18,141.5,0.859
Standard,Inst19,19,149.8,0.885
Standard,Inst19,20,183.6,0.855
Standard,Inst19,21,150.4,0.875
Standard,Inst19,22,162,0.874
Standard,Inst19,23,135.4,0.849
Standard,Inst19,24,156.3,0.866
Standard,Inst19,25,156.1,0.879
Standard,Inst19,26,202.4,0.889
Standard,Inst19,27,148.6,0.895
Standard,Inst19,28,169,0.861
Standard,Inst19,29,144.3,0.844
Standard,Inst19,30,140.6,0.88
Standard,Inst20,1,188.6,0.899
Standard,Inst20,2,190.2,0.904
Standard,Inst20,3,196.3,0.846
Standard,Inst20,4,203.2,0.9
Standard,Inst20,5,193.3,0.884
Standard,Inst20,6,184.1,0.896
Standard,Inst20,7,195.7,0.886
Standard,Inst20,8,235.9,0.884
Standard,Inst20,9,172.5,0.882
Standard,Inst20,10,163.9,0.867
Standard,Inst20,11,224.1,0.898
Standard,Inst20,12,187.5,0.861
Standard,Inst20,13,194.9,0.911
Standard,Inst20,14,186.8,0.917
Standard,Inst20,15,189.8,0.893
Standard,Inst20,16,159.4,0.885
Standard,Inst20,17,182.3,0.885
Standard,Inst20,18,202.5,0.894
Standard,Inst20,19,180.6,0.9
Standard,Inst20,20,210.4,0.872
Standard,Inst20,21,223.5,0.886
Standard,Inst20,22,181.2,0.894
Standard,Inst20,23,217.9,0.916
Standard,Inst20,24,199.9,0.882
Standard,Inst20,25,213.9,0.891
Standard,Inst20,26,223.4,0.876
Standard,Inst20,27,189.1,0.896
Standard,Inst20,28,174.7,0.93
Standard,Inst20,29,204.3,0.9
Standard,Inst20,30,193.2,0.897
Standard,Inst21,1,159.5,0.899
Standard,Inst21,2,170.7,0.889
Standard,Inst21,3,179.4,0.899
Standard,Inst21,4,181.8,0.919
Standard,Inst21,5,142.4,0.867
Standard,Inst21,6,187.8,0.865
Standard,Inst21,7,149.5,0.915
Standard,Inst21,8,169.1,0.886
Standard,Inst21,9,142.3,0.928
Standard,Inst21,10,166.4,0.947
Standard,Inst21,11,140.5,0.917
Standard,Inst21,12,162.8,0.896
Standard,Inst21,13,178.6,0.928
Standard,Inst21,14,180.3,0.904
Standard,Inst21,15,166.5,0.903
Standard,Inst21,16,144.5,0.887
Standard,Inst21,17,154,0.931
Standard,Inst21,18,193.8,0.895
Standard,Inst21,19,164.9,0.879
Standard,Inst21,20,166.6,0.914
Standard,Inst21,21,176.1,0.92
Standard,Inst21,22,138.2,0.908
Standard,Inst21,23,199.4,0.931
Standard,Inst21,24,153.1,0.882
Standard,Inst21,25,163.1,0.907
Standard,Inst21,26,137,0.929
Standard,Inst21,27,147,0.905
Standard,Inst21,28,155.2,0.898
Standard,Inst21,29,175.5,0.893
Standard,Inst21,30,163.9,0.896
Standard,Inst22,1,206.2,0.859
Standard,Inst22,2,170.3,0.878
Standard,Inst22,3,160.9,0.9
Standard,Inst22,4,184.5,0.885
Standard,Inst22,5,176.9,0.898
Standard,Inst22,6,180.1,0.917
Standard,Inst22,7,160.3,0.902
Standard,Inst22,8,166.6,0.903
Standard,Inst22,9,157.6,0.88
Standard,Inst22,10,173.8,0.871
Standard,Inst22,11,207.5,0.867
Standard,Inst22,12,173.6,0.904
Standard,Inst22,13,182.5,0.906
Standard,Inst22,14,201,0.882
Standard,Inst22,15,128.8,0.897
Standard,Inst22,16,185.6,0.903
Standard,Inst22,17,171.1,0.887
Standard,Inst22,18,189.9,0.859
Standard,Inst22,19,208.7,0.902
Standard,Inst22,20,171.5,0.897
Standard,Inst22,21,210.2,0.868
Standard,Inst22,22,128.3,0.897
Standard,Inst22,23,193.1,0.879
Standard,Inst22,24,206.1,0.904
Standard,Inst22,25,176.8,0.869
Standard,Inst22,26,169.6,0.88
Standard,Inst22,27,194.5,0.875
Standard,Inst22,28,154.2,0.948
Standard,Inst22,29,195,0.882
Standard,Inst22,30,139.7,0.925
Standard,Inst23,1,190.7,0.927
Standard,Inst23,2,175.7,0.93
Standard,Inst23,3,206.8,0.919
Standard,Inst23,4,182.7,0.948
Standard,Inst23,5,180.4,0.903
Standard,Inst23,6,179.2,0.959
Standard,Inst23,7,153.6,0.954
Standard,Inst23,8,191.7,0.955
Standard,Inst23,9,184.6,0.966
Standard,Inst23,10,180.6,0.91
Standard,Inst23,11,167.5,0.936
Standard,Inst23,12,167.8,0.9
Standard,Inst23,13,181,0.912
Standard,Inst23,14,182.3,0.883
Standard,Inst23,15,186.5,0.914
Standard,Inst23,16,165.6,0.879
Standard,Inst23,17,161.6,0.932
Standard,Inst23,18,159.4,0.897
Standard,Inst23,19,184,0.912
Standard,Inst23,20,179.8,0.887
Standard,Inst23,21,217,0.918
Standard,Inst23,22,163,0.945
Standard,Inst23,23,178.5,0.898
Standard,Inst23,24,197.6,0.926
Standard,Inst23,25,187.2,0.912
Standard,Inst23,26,155.6,0.915
Standard,Inst23,27,193.3,0.897
Standard,Inst23,28,180.8,0.932
Standard,Inst23,29,145.7,0.963
Standard,Inst23,30,204.6,0.895
Standard,Inst24,1,181.6,0.857
Standard,Inst24,2,199.8,0.887
Standard,Inst24,3,141.4,0.906
Standard,Inst24,4,161.4,0.923
Standard,Inst24,5,177.6,0.894
Standard,Inst24,6,180.7,0.9
Standard,Inst24,7,151.7,0.897
Standard,Inst24,8,176.9,0.884
Standard,Inst24,9,177,0.896
Standard,Inst24,10,142.4,0.861
Standard,Inst24,11,155.9,0.855
Standard,Inst24,12,181.6,0.901
Standard,Inst24,13,154.8,0.894
Standard,Inst24,14,164.1,0.885
Standard,Inst24,15,145.9,0.891
Standard,Inst24,16,192.2,0.903
Standard,Inst24,17,153.7,0.895
Standard,Inst24,18,150.7,0.878
Standard,Inst24,19,161.2,0.895
Standard,Inst24,20,159.8,0.837
Standard,Inst24,21,168.8,0.903
Standard,Inst24,22,151.1,0.901
Standard,Inst24,23,153.4,0.853
Standard,Inst24,24,131.7,0.877
Standard,Inst24,25,215.7,0.875
Standard,Inst24,26,155.6,0.897
Standard,Inst24,27,131.6,0.88
Standard,Inst24,28,195.3,0.885
Standard,Inst24,29,190.1,0.911
Standard,Inst24,30,144,0.904
Standard,Inst25,1,161.3,0.893
Standard,Inst25,2,129.7,0.938
Standard,Inst25,3,161.3,0.879
Standard,Inst25,4,154.8,0.885
Standard,Inst25,5,162.6,0.917
Standard,Inst25,6,162.3,0.916
Standard,Inst25,7,128.1,0.905
Standard,Inst25,8,144.1,0.928
Standard,Inst25,9,145.9,0.924
Standard,Inst25,10,183.2,0.919
Standard,Inst25,11,106.7,0.896
Standard,Inst25,12,132.4,0.91
Standard,Inst25,13,184.6,0.917
Standard,Inst25,14,174,0.912
Standard,Inst25,15,164.8,0.909
Standard,Inst25,16,190.3,0.901
Standard,Inst25,17,157.6,0.914
Standard,Inst25,18,145.7,0.91
Standard,Inst25,19,131.2,0.892
Standard,Inst25,20,165.6,0.928
Standard,Inst25,21,168.1,0.885
