Riser,LogTTF
Riser3,9.90959
Riser3,9.81509
Riser3,8.95334
Riser3,8.90484
Riser3,8.90361
Riser3,8.98839
Riser3,9.18787
Riser3,9.19703
Riser3,9.24123
Riser3,9.10646
Riser3,8.45951
Riser3,9.49074
Riser4,9.08178
Riser4,9.12274
Riser4,8.93394
Riser4,9.13039
Riser4,8.69687
Riser4,9.17883
Riser4,9.53926
Riser4,9.63459
Riser4,9.65783
Riser4,9.30816
Riser4,9.48949
Riser4,9.17578
Riser4,9.25193
Riser4,8.7752
Riser4,9.14848
Riser4,7.784
Riser4,8.87691
Riser4,9.15139
Riser4,9.40166
Riser4,9.09131
Riser4,9.10427
Riser4,9.05463
Riser4,10.11832
Riser4,9.14806
Riser4,8.3014
Riser4,9.45006
Riser4,9.26632
Riser4,9.05432
Riser4,10.16809
Riser4,9.03079
Riser4,9.62632
Riser4,8.08119
Riser4,9.87423
Riser4,8.61977
Riser4,9.2675
Riser4,9.18999
Riser4,8.55358
Riser4,9.31796
Riser4,8.48631
Riser4,8.89595
Riser4,9.31713
Riser4,9.67643
Riser4,8.40018
Riser4,8.19439
Riser4,9.55133
Riser4,8.32998
Riser4,7.99854
Riser4,8.50171
Riser4,9.71604
Riser4,8.17566
Riser4,9.6912
Riser4,9.5489
Riser4,9.25507
Riser4,8.65688
Riser4,8.22471
Riser4,8.82188
Riser4,9.14572
Riser4,9.04781
Riser4,8.94998
Riser4,10.07446
Riser4,9.01518
Riser4,8.90869
Riser4,9.56397
Riser4,8.07693
Riser4,9.70991
Riser4,8.99879
Riser4,8.48097
Riser4,9.85566
